name,TypeSpecific,Type,Region,Zone
LowLineMdwy2SoForks1,Hydro_ZeroK,Hydro,IPMV,US
LowLineMdwy2SoForks2,Hydro_FixedDispatch,Hydro,IPMV,US
LowLineMidway1,Hydro_FixedDispatch,Hydro,IPTV,US
LowLineRapids,Hydro_ZeroK,Hydro,IPMV,US
LSRW_DutchFlats,WT-Onshore,Wind,PSEI,US
LSRW_KuhlRidge,WT-Onshore,Wind,PSEI,US
LuckyPeak131,Hydro,Hydro,IPTV,US
LuckyPeak132,Hydro,Hydro,IPTV,US
LuckyPeak133,Hydro,Hydro,IPTV,US
Lund_Hill,WT-Onshore,Wind,BPAT,US
MagicDam1,Hydro_ZeroK,Hydro,IPMV,US
MagicDam2,Hydro_ZeroK,Hydro,IPMV,US
MagicDam3,Hydro_ZeroK,Hydro,IPMV,US
MainCanal,Hydro_ZeroK,Hydro,TPWR,US
MainlineWind,WT-Onshore,Wind,IPTV,US
Malad_River_1,Hydro_FixedDispatch,Hydro,IPMV,US
MarchPointCC-Total,CCWhole-NatGas-Aero,Gas CC,PSEI,US
Marco_Ranch_1,Hydro_FixedDispatch,Hydro,IPMV,US
Marco_Ranch_2,Hydro_FixedDispatch,Hydro,IPMV,US
Marco_Ranch_3,Hydro_FixedDispatch,Hydro,IPMV,US
Marco_Ranch_4,Hydro_FixedDispatch,Hydro,IPMV,US
MarengoWind1,WT-Onshore,Wind,PACW,US
MarengoWind2,WT-Onshore,Wind,PACW,US
Marion_Inc,Bio-ST,Biomass,PGE,US
Mayfield_41,Hydro_ZeroK,Hydro,TPWR,US
Mayfield_42,Hydro_ZeroK,Hydro,TPWR,US
Mayfield_43,Hydro_ZeroK,Hydro,TPWR,US
Mayfield_44,Hydro_ZeroK,Hydro,TPWR,US
McNary01,Hydro_FixedDispatch,Hydro,BPAT,US
McNary02,Hydro_FixedDispatch,Hydro,BPAT,US
McNary03,Hydro_FixedDispatch,Hydro,BPAT,US
McNary04,Hydro_FixedDispatch,Hydro,BPAT,US
McNary05,Hydro_FixedDispatch,Hydro,BPAT,US
McNary06,Hydro_FixedDispatch,Hydro,BPAT,US
McNary07,Hydro_FixedDispatch,Hydro,BPAT,US
McNary08,Hydro_FixedDispatch,Hydro,BPAT,US
McNary09,Hydro_FixedDispatch,Hydro,BPAT,US
McNary10,Hydro_FixedDispatch,Hydro,BPAT,US
McNary11,Hydro_FixedDispatch,Hydro,BPAT,US
McNary12,Hydro_FixedDispatch,Hydro,BPAT,US
McNary13,Hydro_FixedDispatch,Hydro,BPAT,US
McNary14,Hydro_FixedDispatch,Hydro,BPAT,US
McNaryFishway,Hydro_ZeroK,Hydro,BPAT,US
MeadowCreek_5P,WT-Onshore,Wind,PAID,US
Merwin_1,Hydro_FixedDispatch,Hydro,PACW,US
Merwin_2,Hydro_FixedDispatch,Hydro,PACW,US
Merwin_3,Hydro_FixedDispatch,Hydro,PACW,US
MeyersFalls1,Hydro_ZeroK,Hydro,AVA,US
MeyersFalls2,Hydro_ZeroK,Hydro,AVA,US
MichellButte,Hydro_ZeroK,Hydro,IPTV,US
MiddleForkIrrD1,Hydro_ZeroK,Hydro,BPAT,US
MiddleForkIrrD2,Hydro_ZeroK,Hydro,BPAT,US
MiddleForkIrrD3,Hydro_ZeroK,Hydro,BPAT,US
Mile28Water1,Hydro_ZeroK,Hydro,IPMV,US
