name,TypeSpecific,Type,Region,Zone
KwoiekCreek2,Hydro_ZeroK,Hydro,BCHA,CAN
KwoiekCreek3,Hydro_ZeroK,Hydro,BCHA,CAN
KwoiekCreek4,Hydro_ZeroK,Hydro,BCHA,CAN
KyoceraInternational,ICE-NatGas,Steam,CISD,CA
Kyrene1,ST-NatGas,Other,SRP,AZ
Kyrene2,ST-NatGas,Other,SRP,AZ
Kyrene4,CT-NatGas-Industrial,Gas CT,SRP,AZ
Kyrene5,CT-NatGas-Industrial,Gas CT,SRP,AZ
Kyrene6,CT-NatGas-Industrial,Gas CT,SRP,AZ
Kyrene7CC-Total,CCWhole-NatGas-Industrial,Gas CC,SRP,AZ
L_Bonnington_1,Hydro,Hydro,BCHA,CAN
L_Bonnington_2,Hydro,Hydro,BCHA,CAN
L_Bonnington_3,Hydro,Hydro,BCHA,CAN
La_Grange_1,HydroRPS_FixedDispatch,Hydro,TIDC,CA
La_Grange_2,HydroRPS_FixedDispatch,Hydro,TIDC,CA
La_Joie_1,Hydro,Hydro,BCHA,CAN
La_Senita_1,SolarPV-NonTracking,PV,TEPC,AZ
LA_Wilmington2,ST-NatGas,CHP-QF,LDWP,CA
Ladore_Falls_1,Hydro,Hydro,BCHA,CAN
Ladore_Falls_2,Hydro,Hydro,BCHA,CAN
LaGrande_1,Hydro_ZeroK,Hydro,TPWR,PNW
LaGrande_2,Hydro_ZeroK,Hydro,TPWR,PNW
LaGrande_3,Hydro_ZeroK,Hydro,TPWR,PNW
LaGrande_4,Hydro_ZeroK,Hydro,TPWR,PNW
LaGrande_5,Hydro_ZeroK,Hydro,TPWR,PNW
LagunaBelle_Agg,Bio-ST,Biomass,CISC,CA
Lahontan_1,Hydro_ZeroK,Hydro,SPPC,NV
Lahontan_2,Hydro_ZeroK,Hydro,SPPC,NV
Lahontan_3,Hydro_ZeroK,Hydro,SPPC,NV
LaJoyaDelSol,SolarPV-NonTracking,PV,CIPV,CA
Lake_L1,CT-NatGas-Aero,Gas CT,LDWP,CA
LakeCreek_BPA1,Hydro_FixedDispatch,Hydro,BPAT,PNW
LakeCreek_BPA2,Hydro_FixedDispatch,Hydro,BPAT,PNW
LakeHodges1,PS-Hydro,Storage,CISD,CA
LakeHodges2,PS-Hydro,Storage,CISD,CA
LakeMathews,Hydro_ZeroK,Hydro,CISC,CA
LakeMendocino,Hydro_ZeroK,Hydro,CIPV,CA
LakeSide2CC-Total,CCWhole-NatGas-Industrial,Gas CC,PAUT,UT
LakeSideCC-Total,CCWhole-NatGas-Industrial,Gas CC,PAUT,UT
Lakewood_Hydro,Hydro_ZeroK,Hydro,PSCO,COWY
LaLuzEnergyCenter1,CT-NatGas-Aero,Gas CT,PNM,NM
LaLuzEnergyCenter2,CT-NatGas-Aero,Gas CT,PNM,NM
Lamar_Plant_4,ST-Coal,Coal,PSCO,COWY
Lamar_Plant_6,ST-Coal,Coal,PSCO,COWY
Lamar_Plant_T1,WT-Onshore,Wind,PSCO,COWY
Lamar_Plant_T2,WT-Onshore,Wind,PSCO,COWY
Lamar_Plant_T3,WT-Onshore,Wind,PSCO,COWY
Lamar_Plant_T4,WT-Onshore,Wind,PSCO,COWY
Lambie_EC,CT-NatGas-Aero,Gas CT,CIPV,CA
LamontUprStave1,Hydro_ZeroK,Hydro,BCHA,CAN
LamontUprStave2,Hydro_ZeroK,Hydro,BCHA,CAN
Landfill1_NEDO,SolarPV-NonTracking,PV,PNM,NM
Landfill2_PPA,SolarPV-NonTracking,PV,PNM,NM
Lange,CT-NatGas-Aero,Gas CT,WACM,COWY
LangleyGulchCC-Total,CCWhole-NatGas-Aero,Gas CC,IPTV,PNW
LANL_TA_3_1,ST-NatGas,Other,PNM,NM
LANL_TA_3_2,ST-NatGas,Other,PNM,NM
LANL_TA_3_3,ST-NatGas,Other,PNM,NM
LANL_TA_3_GT1,CT-NatGas-Aero,Gas CT,PNM,NM
LaPaloma1,CCWhole-NatGas-SingleShaft,Gas CC,CIPV,CA
LaPaloma2,CCWhole-NatGas-SingleShaft,Gas CC,CIPV,CA
LaPaloma3,CCWhole-NatGas-SingleShaft,Gas CC,CIPV,CA
LaPaloma4,CCWhole-NatGas-SingleShaft,Gas CC,CIPV,CA
LaramieRiver2,ST-Coal,Coal,WACM,COWY
LaramieRiver3,ST-Coal,Coal,WACM,COWY
Larkspur1,CT-NatGas-Industrial,Gas CT,CISD,CA
Larkspur2,CT-NatGas-Industrial,Gas CT,CISD,CA
LaRosita1CC-Total,CCWhole-NatGas-Industrial,Gas CC,CFE,MX
LaRosita2CC-Total,CCWhole-NatGas-Industrial,Gas CC,CISD,CA
Lassen_QF,ST-Coal,Coal,CIPV,CA
Lassen1,CT-NatGas-Industrial,CHP-QF,CIPV,CA
LasVegasCg1CC-Total,CCWhole-NatGas-Aero,Gas CC,NEVP,NV
LasVegasCg2CC1-Total,CCWhole-NatGas-Aero,Gas CC,NEVP,NV
LasVegasCg2CC2-Total,CCWhole-NatGas-Aero,Gas CC,NEVP,NV
LasVegasSolarEC,SolarPV-NonTracking,PV,PNM,NM
LateralVentures,Hydro_ZeroK,Hydro,IPMV,PNW
LDWP_PVF_26041,Utility Scale PV,PV,LDWP,CA
LDWP_PVR_26013,Distributed PV,RPV,LDWP,CA
LDWP_PVR_26025,Distributed PV,RPV,LDWP,CA
LDWP_PVR_26063,Distributed PV,RPV,LDWP,CA
LDWP_PVR_26066,Distributed PV,RPV,LDWP,CA
LDWP_PVR_26068,Distributed PV,RPV,LDWP,CA
LDWP_PVR_26070,Distributed PV,RPV,LDWP,CA
LDWP_PVR_26078,Distributed PV,RPV,LDWP,CA
LDWP_PVR_26081,Distributed PV,RPV,LDWP,CA
LDWP_PVR_26082,Distributed PV,RPV,LDWP,CA
LDWP_PVR_26086,Distributed PV,RPV,LDWP,CA
LDWP_PVR_26087,Distributed PV,RPV,LDWP,CA
LDWP_PVR_26093,Distributed PV,RPV,LDWP,CA
LDWP_PVR_26103,Distributed PV,RPV,LDWP,CA
LDWP_PVR_27031,Distributed PV,RPV,LDWP,CA
LDWP_PVT_26003,Utility Scale PV,PV,LDWP,CA
LDWP_PVT_26104,Utility Scale PV,PV,LDWP,CA
Leaburg_1,Hydro_ZeroK,Hydro,BPAT,PNW
Leaburg_2,Hydro_ZeroK,Hydro,BPAT,PNW
LeaningJunipr1,WT-Onshore,Wind,BPAT,PNW
LeaningJunipr2A,WT-Onshore,Wind,BPAT,PNW
LeaningJunipr2B,WT-Onshore,Wind,BPAT,PNW
LeaningJunipr3,WT-Onshore,Wind,BPAT,PNW
Lemolo_2_1,Hydro,Hydro,PACW,PNW
Lemolo1-1,Hydro_FixedDispatch,Hydro,PACW,PNW
Lemoyne_1,Hydro_FixedDispatch,Hydro,IPMV,PNW
Lethbridge_EC,CT-NatGas-Industrial,Gas CT,AESO,CAN
Lewiston_1,Hydro_FixedDispatch,Hydro,CIPV,CA
Libby_1,Hydro_FixedDispatch,Hydro,BPAT,PNW
Libby_2,Hydro_FixedDispatch,Hydro,BPAT,PNW
Libby_3,Hydro_FixedDispatch,Hydro,BPAT,PNW
Libby_4,Hydro_FixedDispatch,Hydro,BPAT,PNW
Libby_5,Hydro_FixedDispatch,Hydro,BPAT,PNW
LimeSaddle1,Hydro_ZeroK,Hydro,CIPV,CA
LimeSaddle2,Hydro_ZeroK,Hydro,CIPV,CA
